account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,churn_label,ref_date,tenure_days,subs_count,mrr_mean,mrr_max,arr_mean,seats_mean,upgrades,downgrades,auto_renew_rate,trial_rate,latest_plan_tier,latest_billing_frequency,usage_events_30d,usage_count_sum_30d,usage_duration_sum_30d,errors_sum_30d,distinct_features_30d,beta_share_30d,usage_events_60d,usage_count_sum_60d,usage_duration_sum_60d,errors_sum_60d,distinct_features_60d,beta_share_60d,usage_events_90d,usage_count_sum_90d,usage_duration_sum_90d,errors_sum_90d,distinct_features_90d,beta_share_90d,tickets,urgent_rate,high_rate,res_time_mean,res_time_max,first_resp_mean,satisfaction_mean,satisfaction_missing,escalation_rate
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,0,1,2024-12-05,50,7.0,826.7142857142857,1938.0,9920.57142857143,32.57142857142857,1.0,0.0,0.7142857142857143,0.2857142857142857,Enterprise,annual,4.0,38.0,10557.0,6.0,4.0,0.0,5.0,43.0,11037.0,6.0,5.0,0.0,7.0,67.0,19169.0,9.0,7.0,0.0,1.0,1.0,0.0,27.0,27.0,64.0,3.0,0.0,0.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,1,1,2024-12-29,500,8.0,1250.5,5572.0,15006.0,22.0,3.0,0.0,0.75,0.0,Pro,monthly,1.0,12.0,3900.0,2.0,1.0,1.0,3.0,27.0,8003.0,2.0,2.0,0.3333333333333333,4.0,38.0,8850.0,3.0,3.0,0.25,3.0,0.6666666666666666,0.0,38.0,64.0,73.33333333333333,4.0,0.0,0.0
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,0,1,2024-12-31,126,15.0,1219.0666666666666,5771.0,14628.8,18.8,1.0,1.0,1.0,0.06666666666666667,Pro,annual,8.0,78.0,16100.0,5.0,6.0,0.0,11.0,104.0,26404.0,5.0,8.0,0.0,11.0,104.0,26404.0,5.0,8.0,0.0,3.0,0.3333333333333333,0.0,43.666666666666664,65.0,63.666666666666664,4.666666666666667,0.0,0.0
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,0,1,2024-11-08,439,5.0,1498.2,4776.0,17978.4,30.6,1.0,0.0,0.6,0.2,Pro,monthly,2.0,17.0,2504.0,0.0,2.0,0.5,6.0,46.0,11178.0,3.0,5.0,0.16666666666666666,7.0,52.0,12930.0,3.0,6.0,0.14285714285714285,2.0,0.0,0.5,29.0,44.0,174.0,,1.0,0.0
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,1,1,2024-12-28,62,8.0,3383.75,10746.0,40605.0,39.375,2.0,0.0,0.625,0.125,Pro,monthly,3.0,29.0,10216.0,3.0,3.0,0.0,8.0,72.0,27108.0,6.0,8.0,0.0,12.0,108.0,36799.0,10.0,11.0,0.0,7.0,0.2857142857142857,0.2857142857142857,42.285714285714285,69.0,107.85714285714286,3.8,0.2857142857142857,0.14285714285714285
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,0,1,2024-11-16,401,11.0,1528.1818181818182,6965.0,18338.18181818182,19.545454545454547,0.0,0.0,0.8181818181818182,0.09090909090909091,Enterprise,annual,2.0,25.0,7905.0,0.0,2.0,0.0,4.0,60.0,19790.0,0.0,4.0,0.0,6.0,69.0,21957.0,1.0,6.0,0.0,4.0,0.25,0.5,43.0,65.0,74.75,3.0,0.75,0.0
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,0,0,2024-12-17,284,9.0,1848.111111111111,5174.0,22177.333333333332,19.555555555555557,0.0,0.0,0.8888888888888888,0.1111111111111111,Enterprise,monthly,3.0,22.0,6281.0,1.0,3.0,0.0,6.0,62.0,19832.0,1.0,6.0,0.16666666666666666,7.0,72.0,25392.0,1.0,7.0,0.14285714285714285,6.0,0.0,0.3333333333333333,39.166666666666664,61.0,89.83333333333333,3.8,0.16666666666666666,0.5
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,0,1,2024-05-11,392,6.0,1330.1666666666667,4179.0,15962.0,16.0,0.0,0.0,1.0,0.16666666666666666,Enterprise,annual,3.0,27.0,7275.0,1.0,3.0,0.0,6.0,52.0,16936.0,5.0,5.0,0.16666666666666666,7.0,62.0,18116.0,5.0,6.0,0.14285714285714285,1.0,0.0,1.0,50.0,50.0,9.0,,1.0,0.0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,1,1,2024-12-27,108,10.0,2305.7,13333.0,27668.4,21.6,1.0,0.0,0.7,0.3,Pro,annual,,,,,,,3.0,35.0,10634.0,0.0,3.0,0.0,7.0,67.0,18005.0,1.0,7.0,0.14285714285714285,4.0,0.25,0.75,32.5,60.0,75.25,3.6666666666666665,0.25,0.0
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,1,1,2024-12-23,595,6.0,1464.5,3383.0,17574.0,19.333333333333332,1.0,0.0,0.6666666666666666,0.16666666666666666,Pro,monthly,2.0,22.0,10886.0,3.0,2.0,0.0,3.0,29.0,11789.0,3.0,3.0,0.0,7.0,70.0,28937.0,3.0,7.0,0.0,3.0,0.0,0.6666666666666666,31.333333333333332,37.0,71.33333333333333,3.5,0.3333333333333333,0.0
